id,visit_id,utm_source,utm_medium,utm_campaign,utm_term,utm_content,referrer,user_agent,ip,ip_details,created_at
30,59545359-f84a-4e2e-b394-50711e99afeb,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""ip"":""3.111.29.1"",""network"":""3.111.0.0/18"",""version"":""IPv4"",""city"":""Mumbai"",""region"":""Maharashtra"",""region_code"":""MH"",""country"":""IN"",""country_name"":""India"",""country_code"":""IN"",""country_code_iso3"":""IND"",""country_capital"":""New Delhi"",""country_tld"":"".in"",""continent_code"":""AS"",""in_eu"":false,""postal"":""400072"",""latitude"":19.0931,""longitude"":72.9049,""timezone"":""Asia/Kolkata"",""utc_offset"":""+0530"",""country_calling_code"":""+91"",""currency"":""INR"",""currency_name"":""Rupee"",""languages"":""en-IN,hi,bn,te,mr,ta,ur,gu,kn,ml,or,pa,as,bh,sat,ks,ne,sd,kok,doi,mni,sit,sa,fr,lus,inc"",""country_area"":3287590,""country_population"":1352617328,""asn"":""AS16509"",""org"":""AMAZON-02""}}",2026-01-02 08:39:47
31,10bbc8cd-9222-463a-a1b2-f3beee502413,,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36","{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}",,2026-01-02 09:11:46
32,1ffab199-2737-47c9-9e67-5dd3f06969a9,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 09:25:30
33,0fe8bf4a-e9e3-440c-ac37-e332c942a438,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 09:55:19
34,36aee50e-aaaa-407b-8277-d3464d9a1d32,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",,,2026-01-02 12:14:36
35,75d5dfec-5f1a-4658-86ab-7fac2724c1b4,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 12:14:45
36,4cd5caa1-be9c-44b4-bf3a-b969c96dee3c,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 OPR/125.0.0.0",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 12:37:53
37,bba97e32-59ff-4a2c-8a71-1d8e34b94130,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:23:23
38,bba97e32-59ff-4a2c-8a71-1d8e34b94130,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:28:07
39,5edaa9e6-81bd-4b92-b239-f3d86eea0ba1,,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 13:29:42
